id,age,tenure_months,monthly_charges,contract_type,payment_method,support_calls,churn
2553,35,12,92.91,One year,Mailed check,2,0
2554,18,4,106.27,Month-to-month,Electronic check,2,0
2555,47,21,45.97,Month-to-month,Mailed check,0,0
2556,36,0,65.92,Two year,Electronic check,2,0
2557,18,7,18.0,One year,Mailed check,1,0
2558,53,12,67.34,Month-to-month,Bank transfer,1,0
2559,62,25,53.35,Two year,Electronic check,0,0
2560,62,52,72.36,Two year,Credit card,0,0
2561,47,0,143.09,Two year,Bank transfer,2,0
2562,42,13,114.9,One year,Electronic check,0,1
2563,60,3,34.46,Two year,Mailed check,1,0
2564,65,30,88.39,Two year,Electronic check,1,0
2565,57,18,92.67,Month-to-month,Electronic check,2,1
2566,28,9,62.9,Two year,Credit card,2,0
2567,44,4,75.06,Month-to-month,Bank transfer,2,0
2568,48,25,80.65,Two year,Credit card,1,1
2569,18,11,37.98,One year,Bank transfer,0,0
2570,48,32,49.02,One year,Credit card,2,0
2571,73,18,77.01,Month-to-month,Credit card,1,1
2572,50,9,73.84,Month-to-month,Electronic check,2,0
2573,62,48,59.49,Month-to-month,Electronic check,2,0
2574,44,24,53.74,One year,Mailed check,1,0
2575,40,32,72.56,Two year,Electronic check,3,0
2576,47,17,94.7,Month-to-month,Mailed check,2,0
2577,30,21,71.24,Month-to-month,Electronic check,1,1
2578,28,21,113.72,One year,Credit card,0,0
2579,59,12,54.4,Month-to-month,Electronic check,1,0
2580,61,8,76.03,Month-to-month,Credit card,2,0
2581,28,49,68.49,Month-to-month,Mailed check,3,0
2582,55,9,86.05,One year,Electronic check,2,0
2583,40,3,50.91,One year,Credit card,2,0
2584,46,12,119.98,Two year,Mailed check,1,0
2585,48,24,31.33,Month-to-month,Bank transfer,0,0
2586,55,40,118.89,Month-to-month,Credit card,0,0
2587,43,19,75.1,One year,Electronic check,2,1
2588,61,33,88.76,Two year,Electronic check,1,0
2589,46,51,111.01,Month-to-month,Electronic check,5,0
2590,50,39,97.29,Two year,Electronic check,2,0
2591,30,9,53.1,One year,Credit card,1,0
2592,72,43,91.45,Two year,Credit card,1,0
2593,48,41,122.84,Month-to-month,Mailed check,1,0
2594,51,7,48.87,Month-to-month,Bank transfer,1,1
2595,19,6,123.86,Month-to-month,Credit card,2,1
2596,30,52,87.44,One year,Electronic check,0,0
2597,59,25,62.92,Two year,Electronic check,2,0
2598,46,15,49.92,Month-to-month,Credit card,2,1
2599,18,41,70.57,Month-to-month,Bank transfer,1,0
2600,56,1,21.27,Month-to-month,Electronic check,4,1
2601,34,2,59.92,One year,Mailed check,4,0
2602,61,37,68.98,Two year,Electronic check,0,0
2603,40,24,46.74,Month-to-month,Bank transfer,0,0
2604,44,0,88.7,One year,Bank transfer,3,0
2605,58,1,64.68,Month-to-month,Electronic check,2,1
2606,29,20,57.11,Two year,Credit card,1,0
2607,28,7,62.92,Two year,Mailed check,0,0
2608,39,10,80.38,Month-to-month,Bank transfer,4,1
2609,53,42,78.13,One year,Bank transfer,2,0
2610,23,28,56.68,Two year,Mailed check,1,0
2611,18,24,76.74,Two year,Electronic check,1,1
2612,53,29,73.08,One year,Electronic check,1,0
2613,33,14,43.61,Month-to-month,Bank transfer,2,0
2614,36,14,64.89,One year,Bank transfer,0,0
2615,18,46,91.38,One year,Electronic check,2,0
2616,32,1,84.45,Month-to-month,Credit card,1,1
2617,41,26,68.15,Two year,Credit card,0,0
2618,55,3,87.37,Month-to-month,Electronic check,2,0
2619,31,25,49.25,Two year,Electronic check,0,0
2620,65,1,46.43,Month-to-month,Mailed check,0,1
2621,32,72,74.52,Month-to-month,Electronic check,1,0
2622,32,39,113.29,Month-to-month,Credit card,1,0
2623,63,3,74.53,One year,Bank transfer,2,0
2624,44,20,66.12,Two year,Electronic check,0,0
2625,34,72,119.4,Month-to-month,Mailed check,0,0
2626,39,9,64.18,Month-to-month,Electronic check,1,1
2627,60,28,130.07,Two year,Mailed check,2,0
2628,62,72,68.02,One year,Electronic check,1,0
2629,30,29,49.06,Month-to-month,Credit card,0,0
2630,41,7,66.89,Two year,Bank transfer,0,0
2631,43,32,68.57,Month-to-month,Credit card,0,0
2632,28,23,53.26,Month-to-month,Electronic check,4,0
2633,41,2,135.35,Month-to-month,Mailed check,2,1
2634,42,8,79.17,One year,Credit card,2,0
2635,57,1,81.76,Month-to-month,Mailed check,4,1
2636,58,5,59.2,Two year,Mailed check,1,0
2637,37,11,57.21,Month-to-month,Credit card,0,0
2638,39,0,95.64,Two year,Credit card,0,0
2639,51,20,31.1,Month-to-month,Credit card,1,0
2640,33,6,42.33,Month-to-month,Mailed check,2,1
2641,50,19,66.67,Month-to-month,Bank transfer,2,0
2642,40,28,107.98,Month-to-month,Mailed check,1,0
2643,28,18,63.34,Month-to-month,Mailed check,0,0
2644,28,20,83.4,Two year,Electronic check,1,1
2645,62,4,71.29,Two year,Credit card,1,0
2646,39,72,113.21,One year,Mailed check,2,0
2647,64,8,31.58,Month-to-month,Bank transfer,2,1
2648,34,7,89.45,Two year,Credit card,4,0
2649,46,54,73.13,Month-to-month,Credit card,2,0
2650,75,32,97.92,One year,Electronic check,0,0
2651,27,3,49.97,One year,Bank transfer,2,0
2652,18,1,70.76,Month-to-month,Mailed check,2,0
2653,60,9,68.79,Month-to-month,Electronic check,0,0
2654,30,72,55.74,Two year,Electronic check,2,0
2655,41,37,43.54,Month-to-month,Bank transfer,4,0
2656,33,16,57.89,One year,Credit card,1,0
2657,45,0,73.25,Two year,Credit card,1,0
2658,28,10,52.58,Month-to-month,Mailed check,1,1
2659,39,8,62.95,Month-to-month,Mailed check,3,1
2660,48,70,33.36,Month-to-month,Electronic check,1,0
2661,27,0,60.73,Two year,Credit card,2,0
2662,32,0,95.59,Month-to-month,Credit card,1,1
2663,37,26,91.53,Month-to-month,Credit card,0,0
2664,21,3,68.28,Month-to-month,Mailed check,4,0
2665,36,11,77.74,Two year,Electronic check,1,0
2666,43,2,49.59,Two year,Bank transfer,3,0
2667,36,4,111.21,One year,Mailed check,3,0
2668,38,9,123.04,Two year,Electronic check,0,0
2669,41,22,77.42,One year,Electronic check,3,0
2670,32,32,139.57,Two year,Electronic check,0,0
2671,51,19,55.85,Month-to-month,Mailed check,2,0
2672,62,0,38.72,Month-to-month,Credit card,2,0
2673,35,12,54.06,Two year,Bank transfer,0,0
2674,48,4,65.11,Month-to-month,Bank transfer,2,1
2675,38,4,128.4,Month-to-month,Electronic check,2,1
2676,47,15,65.22,One year,Bank transfer,1,0
2677,63,32,53.31,One year,Mailed check,3,0
2678,49,5,48.29,Month-to-month,Electronic check,1,0
2679,18,36,103.9,Month-to-month,Mailed check,1,0
2680,48,32,99.73,Month-to-month,Electronic check,2,1
2681,59,62,67.16,Month-to-month,Credit card,2,0
2682,38,47,30.16,Month-to-month,Credit card,2,0
2683,55,17,44.34,Month-to-month,Electronic check,0,1
2684,32,5,113.78,One year,Bank transfer,1,0
2685,21,27,91.27,Month-to-month,Mailed check,1,0
2686,43,72,82.44,Month-to-month,Electronic check,4,0
2687,18,48,123.92,One year,Bank transfer,3,0
2688,38,9,120.31,Month-to-month,Bank transfer,0,0
2689,60,72,79.9,Month-to-month,Credit card,1,0
2690,18,6,70.46,Month-to-month,Electronic check,1,0
2691,24,18,58.15,One year,Mailed check,1,0
2692,27,15,65.13,Month-to-month,Electronic check,0,1
2693,41,46,39.74,Month-to-month,Electronic check,1,0
2694,36,14,34.84,One year,Electronic check,1,0
2695,61,31,31.58,Two year,Electronic check,2,0
2696,55,11,98.76,One year,Electronic check,5,0
2697,48,5,31.71,Two year,Mailed check,0,0
2698,44,38,124.45,One year,Bank transfer,0,0
2699,47,17,54.29,Month-to-month,Electronic check,2,1
2700,29,38,119.13,Month-to-month,Electronic check,2,1
2701,54,18,63.57,Month-to-month,Credit card,0,0
2702,26,10,32.35,Month-to-month,Credit card,1,0
2703,53,11,103.74,Month-to-month,Electronic check,1,0
2704,58,72,115.85,Month-to-month,Mailed check,1,0
2705,44,51,55.0,One year,Electronic check,1,0
2706,39,46,68.61,One year,Credit card,1,1
2707,47,34,52.46,Month-to-month,Mailed check,2,0
2708,18,4,67.59,Month-to-month,Electronic check,4,1
2709,46,24,76.3,Month-to-month,Bank transfer,1,0
2710,40,16,63.62,Month-to-month,Bank transfer,1,0
2711,41,22,27.83,Month-to-month,Electronic check,2,0
2712,51,12,57.28,Month-to-month,Electronic check,1,0
2713,40,48,94.79,Month-to-month,Mailed check,2,1
2714,26,33,69.73,Two year,Electronic check,0,0
2715,40,24,65.41,Month-to-month,Electronic check,2,1
2716,42,11,48.38,One year,Credit card,3,0
2717,43,15,57.0,Month-to-month,Bank transfer,1,0
2718,44,22,108.52,Month-to-month,Bank transfer,0,0
2719,56,0,41.51,Month-to-month,Bank transfer,1,0
2720,26,17,90.57,Two year,Mailed check,1,0
2721,44,32,75.98,Month-to-month,Mailed check,0,0
2722,60,39,81.97,Month-to-month,Bank transfer,2,0
2723,18,12,53.49,Two year,Electronic check,1,0
2724,44,11,62.86,Month-to-month,Electronic check,2,1
2725,33,72,80.66,Month-to-month,Electronic check,0,0
2726,36,4,57.58,One year,Bank transfer,1,0
2727,29,14,80.39,Month-to-month,Bank transfer,0,0
2728,39,15,83.69,Two year,Mailed check,0,0
2729,67,24,127.92,Month-to-month,Mailed check,4,0
2730,24,20,79.95,One year,Credit card,0,0
2731,25,20,25.19,Month-to-month,Electronic check,1,0
2732,23,11,100.73,Two year,Mailed check,4,0
2733,66,34,70.0,Two year,Bank transfer,1,0
2734,35,39,126.15,Two year,Bank transfer,0,0
2735,41,37,112.32,Two year,Mailed check,1,0
2736,36,14,59.47,One year,Electronic check,0,0
2737,28,21,91.2,Month-to-month,Credit card,1,0
2738,38,6,56.05,Month-to-month,Mailed check,3,1
2739,76,21,73.22,Month-to-month,Credit card,1,0
2740,61,21,90.05,Month-to-month,Credit card,0,0
2741,30,13,99.78,Month-to-month,Credit card,2,1
2742,51,72,103.18,One year,Electronic check,1,0
2743,30,7,72.92,One year,Mailed check,3,0
2744,18,1,132.24,Two year,Electronic check,1,0
2745,56,72,71.67,Month-to-month,Electronic check,2,0
2746,58,46,36.72,One year,Electronic check,0,0
2747,56,3,35.08,One year,Mailed check,3,0
2748,35,13,108.8,Two year,Mailed check,1,0
2749,39,4,68.68,One year,Bank transfer,2,0
2750,52,20,76.98,Month-to-month,Electronic check,2,0
2751,47,3,56.89,Month-to-month,Electronic check,2,0
2752,36,23,62.13,Two year,Mailed check,0,0
2753,19,8,51.52,One year,Bank transfer,1,0
2754,43,63,91.23,Two year,Electronic check,1,0
2755,57,14,69.67,One year,Bank transfer,0,0
2756,25,23,84.33,One year,Electronic check,2,1
2757,50,8,79.69,One year,Bank transfer,2,0
2758,46,15,61.6,Two year,Bank transfer,3,0
2759,52,1,33.68,Two year,Mailed check,4,0
2760,54,7,32.41,Month-to-month,Bank transfer,1,0
2761,32,20,148.67,Month-to-month,Credit card,2,1
2762,19,6,107.85,Month-to-month,Electronic check,3,1
2763,34,4,104.1,Month-to-month,Electronic check,0,0
2764,54,0,53.13,Two year,Credit card,2,0
2765,34,11,71.89,Two year,Credit card,0,0
2766,32,48,56.82,Month-to-month,Bank transfer,0,0
2767,18,29,41.55,Month-to-month,Electronic check,3,0
2768,66,72,66.08,Month-to-month,Electronic check,0,0
2769,53,29,107.5,Two year,Credit card,2,0
2770,52,10,92.52,One year,Bank transfer,2,1
2771,55,46,52.65,Month-to-month,Electronic check,2,0
2772,50,33,67.08,Month-to-month,Electronic check,1,1
2773,38,15,90.98,One year,Credit card,0,0
2774,39,72,66.53,Month-to-month,Bank transfer,2,0
2775,36,72,82.79,Two year,Credit card,0,0
2776,78,3,80.5,Two year,Mailed check,0,0
2777,49,72,90.57,Month-to-month,Electronic check,0,0
2778,35,19,79.2,Month-to-month,Electronic check,1,0
2779,48,24,57.26,Month-to-month,Mailed check,2,0
2780,27,34,61.33,Month-to-month,Electronic check,1,1
2781,63,4,42.26,Month-to-month,Electronic check,0,1
2782,32,17,33.52,Month-to-month,Electronic check,0,0
2783,49,4,67.73,Month-to-month,Electronic check,2,1
2784,56,13,92.36,Two year,Credit card,2,0
2785,47,2,35.79,Month-to-month,Electronic check,0,0
2786,43,14,78.92,Two year,Mailed check,2,0
2787,42,4,90.22,Month-to-month,Bank transfer,1,1
2788,41,17,26.63,Month-to-month,Electronic check,2,0
2789,33,25,66.99,Month-to-month,Mailed check,0,0
2790,35,68,121.36,Month-to-month,Credit card,3,0
2791,62,21,86.95,Month-to-month,Bank transfer,3,0
2792,40,26,27.14,Two year,Mailed check,0,0
2793,30,0,86.46,Two year,Credit card,1,0
2794,34,23,54.76,Month-to-month,Credit card,0,0
2795,57,12,89.08,Month-to-month,Credit card,0,0
2796,51,21,55.9,Month-to-month,Mailed check,5,0
2797,49,6,69.57,One year,Bank transfer,4,0
2798,38,12,58.36,Month-to-month,Mailed check,2,0
2799,50,50,77.58,Month-to-month,Electronic check,0,0
2800,32,23,59.27,Two year,Mailed check,0,0
2801,38,39,70.26,Two year,Credit card,0,0
2802,55,16,43.01,One year,Electronic check,1,0
2803,54,3,82.72,Month-to-month,Credit card,1,1
2804,28,0,74.38,Month-to-month,Credit card,0,1
2805,30,16,31.99,Month-to-month,Electronic check,1,0
2806,43,19,97.67,One year,Electronic check,0,1
2807,66,9,66.94,One year,Credit card,0,0
2808,18,19,76.89,Month-to-month,Electronic check,1,1
2809,45,36,94.51,Two year,Credit card,1,0
2810,22,13,80.16,Month-to-month,Electronic check,0,1
2811,33,29,103.48,One year,Electronic check,0,0
2812,36,72,73.47,Month-to-month,Electronic check,0,0
2813,36,42,102.16,Month-to-month,Electronic check,2,0
2814,34,11,74.72,Month-to-month,Credit card,1,0
2815,42,6,83.59,One year,Electronic check,4,0
2816,34,19,82.94,Month-to-month,Electronic check,1,1
2817,21,47,108.07,Month-to-month,Bank transfer,1,0
2818,52,26,91.94,One year,Credit card,0,0
2819,52,64,68.53,One year,Mailed check,2,0
2820,53,68,64.17,One year,Credit card,0,0
2821,20,15,71.01,One year,Electronic check,1,1
2822,46,36,56.4,One year,Credit card,0,0
2823,51,16,46.1,One year,Bank transfer,1,0
2824,27,0,18.0,Month-to-month,Credit card,2,0
2825,42,72,42.07,Month-to-month,Bank transfer,0,0
2826,40,21,122.79,Month-to-month,Credit card,2,0
2827,67,15,55.84,Month-to-month,Mailed check,3,0
2828,68,2,117.89,Month-to-month,Bank transfer,1,1
2829,18,7,81.13,Month-to-month,Bank transfer,1,0
2830,76,7,69.81,Month-to-month,Electronic check,2,0
2831,29,29,36.83,One year,Credit card,1,0
2832,55,50,77.62,One year,Credit card,2,0
2833,55,1,117.45,One year,Credit card,4,0
2834,28,24,112.54,Two year,Mailed check,1,0
2835,48,2,77.16,Month-to-month,Credit card,1,0
2836,40,9,42.63,Month-to-month,Electronic check,3,0
2837,49,72,56.87,Month-to-month,Credit card,2,0
2838,45,23,52.14,Month-to-month,Electronic check,1,0
2839,58,16,104.35,Month-to-month,Bank transfer,1,0
2840,43,52,118.59,Two year,Electronic check,0,0
2841,39,29,79.25,Month-to-month,Bank transfer,1,0
2842,57,7,63.47,Month-to-month,Mailed check,1,1
2843,50,19,111.57,Month-to-month,Credit card,0,0
2844,52,20,48.54,Month-to-month,Credit card,2,0
2845,32,20,74.3,One year,Mailed check,0,0
2846,27,9,82.92,One year,Credit card,1,0
2847,34,25,52.18,One year,Bank transfer,1,0
2848,33,13,56.05,One year,Mailed check,1,0
2849,53,60,61.16,Month-to-month,Electronic check,2,0
2850,55,7,106.47,Month-to-month,Electronic check,0,0
2851,39,26,121.76,One year,Electronic check,1,0
2852,62,25,76.62,Month-to-month,Mailed check,2,0
2853,61,11,64.94,Month-to-month,Mailed check,2,1
2854,45,4,55.6,Month-to-month,Mailed check,2,1
2855,30,2,70.34,One year,Credit card,3,0
2856,64,24,59.84,Month-to-month,Electronic check,3,1
2857,41,13,69.52,Two year,Credit card,2,0
2858,43,15,82.58,Month-to-month,Credit card,3,1
2859,37,12,61.67,Month-to-month,Bank transfer,0,0
2860,29,3,65.71,Month-to-month,Mailed check,4,1
2861,21,14,67.46,Month-to-month,Electronic check,2,0
2862,50,0,62.06,Month-to-month,Credit card,1,1
2863,31,11,60.61,One year,Bank transfer,0,0
2864,84,17,91.6,Month-to-month,Credit card,1,0
2865,26,56,34.13,Month-to-month,Electronic check,1,0
2866,24,3,109.81,Month-to-month,Bank transfer,4,0
2867,49,21,76.54,Month-to-month,Mailed check,1,0
2868,63,10,86.75,Two year,Bank transfer,3,0
2869,42,39,93.98,Month-to-month,Bank transfer,0,0
2870,50,6,53.2,One year,Electronic check,0,0
2871,18,12,48.94,Month-to-month,Electronic check,0,0
2872,32,29,48.54,Month-to-month,Electronic check,0,0
2873,26,9,65.17,Two year,Electronic check,0,0
2874,18,37,93.03,Month-to-month,Electronic check,1,1
2875,43,1,55.56,Two year,Electronic check,2,0
2876,18,6,86.1,Month-to-month,Mailed check,3,1
2877,23,0,18.0,Month-to-month,Bank transfer,5,1
2878,34,31,65.01,Two year,Credit card,2,1
2879,30,12,100.98,Month-to-month,Electronic check,1,1
2880,47,20,68.73,Two year,Electronic check,0,0
2881,46,2,49.57,Two year,Bank transfer,3,0
2882,54,20,56.58,Month-to-month,Mailed check,3,0
2883,52,7,18.0,Month-to-month,Electronic check,1,1
2884,57,25,48.45,Two year,Mailed check,1,0
2885,41,8,97.63,Month-to-month,Credit card,2,0
2886,46,11,57.08,One year,Mailed check,2,0
2887,49,12,60.19,Month-to-month,Credit card,1,0
2888,43,72,22.5,Month-to-month,Electronic check,0,0
2889,36,47,36.28,Month-to-month,Electronic check,1,0
2890,37,0,99.75,One year,Electronic check,1,0
2891,30,9,86.78,One year,Credit card,2,1
2892,47,52,45.36,One year,Mailed check,0,0
2893,40,20,57.24,Month-to-month,Bank transfer,6,0
2894,32,30,73.77,Month-to-month,Credit card,3,1
2895,32,5,40.85,Month-to-month,Mailed check,3,1
2896,25,2,20.2,Month-to-month,Electronic check,2,0
2897,55,7,67.07,Month-to-month,Bank transfer,7,0
2898,43,72,95.12,One year,Electronic check,0,0
2899,29,19,87.65,Month-to-month,Bank transfer,0,0
2900,53,12,93.68,Month-to-month,Credit card,0,0
2901,34,23,34.61,One year,Mailed check,0,0
2902,22,27,75.5,Month-to-month,Electronic check,0,1
2903,56,27,67.34,Two year,Bank transfer,0,0
2904,34,9,69.17,Month-to-month,Electronic check,1,1
2905,36,72,75.51,Month-to-month,Electronic check,1,0
2906,42,6,54.39,Two year,Mailed check,0,0
2907,57,50,18.0,One year,Electronic check,3,0
2908,42,13,101.0,Two year,Electronic check,2,0
2909,25,20,81.25,Month-to-month,Bank transfer,0,0
2910,49,23,36.34,Month-to-month,Mailed check,3,1
2911,35,4,82.43,One year,Mailed check,4,0
2912,68,7,59.87,Month-to-month,Credit card,1,1
2913,41,25,63.28,One year,Electronic check,0,0
2914,18,40,56.79,Month-to-month,Electronic check,2,1
2915,47,21,86.57,Month-to-month,Credit card,1,0
2916,69,58,58.7,Month-to-month,Electronic check,0,0
2917,64,14,44.68,One year,Credit card,0,0
2918,67,11,99.94,Month-to-month,Bank transfer,1,0
2919,27,42,71.83,Two year,Mailed check,1,0
2920,54,1,66.46,Month-to-month,Electronic check,2,0
2921,31,40,93.31,Month-to-month,Mailed check,1,1
2922,45,7,54.36,Month-to-month,Credit card,3,1
2923,24,23,61.75,One year,Electronic check,1,0
2924,32,0,77.64,Two year,Bank transfer,0,0
2925,32,9,32.82,Month-to-month,Credit card,0,1
2926,54,68,85.73,Month-to-month,Bank transfer,2,0
2927,53,28,55.31,One year,Electronic check,2,0
2928,45,8,92.59,Month-to-month,Bank transfer,0,0
2929,23,4,84.27,One year,Bank transfer,2,0
2930,37,12,82.16,One year,Electronic check,0,0
2931,31,5,30.58,Month-to-month,Credit card,2,1
2932,54,51,75.07,One year,Electronic check,3,1
2933,58,24,44.17,One year,Credit card,1,0
2934,56,24,72.68,Month-to-month,Electronic check,2,0
2935,31,54,20.22,Month-to-month,Electronic check,3,0
2936,18,23,34.93,Month-to-month,Bank transfer,2,0
2937,18,72,110.53,One year,Electronic check,1,0
2938,61,10,80.73,One year,Electronic check,1,0
2939,36,22,64.45,Month-to-month,Electronic check,0,0
2940,31,6,48.18,Month-to-month,Credit card,1,1
2941,64,18,45.59,Month-to-month,Electronic check,1,0
2942,59,13,76.95,Month-to-month,Bank transfer,2,1
2943,42,4,62.01,Month-to-month,Bank transfer,1,1
2944,37,7,109.72,Month-to-month,Mailed check,0,1
2945,40,10,66.88,Month-to-month,Mailed check,1,0
2946,45,17,74.02,One year,Electronic check,5,0
2947,64,29,39.64,One year,Credit card,0,0
2948,47,10,62.48,Month-to-month,Credit card,1,0
2949,52,6,75.32,One year,Credit card,3,0
2950,58,47,67.73,Month-to-month,Bank transfer,1,0
2951,25,66,67.76,Month-to-month,Credit card,2,0
2952,52,14,80.27,Two year,Credit card,0,0
2953,37,14,109.97,Month-to-month,Mailed check,1,0
2954,18,1,73.77,Month-to-month,Credit card,3,1
2955,18,7,99.65,Month-to-month,Electronic check,1,1
2956,27,6,86.44,One year,Electronic check,2,0
2957,49,20,100.11,Month-to-month,Mailed check,2,0
2958,43,3,55.21,Two year,Mailed check,2,0
2959,44,9,66.18,Month-to-month,Mailed check,4,0
2960,69,30,69.43,Month-to-month,Mailed check,1,0
2961,24,26,87.56,Month-to-month,Mailed check,1,0
2962,41,8,91.01,One year,Credit card,1,0
2963,46,3,73.58,Month-to-month,Electronic check,1,1
2964,31,9,93.27,Two year,Electronic check,1,1
2965,42,17,58.47,Two year,Bank transfer,0,0
2966,19,18,94.83,Month-to-month,Bank transfer,0,0
2967,61,2,95.7,Month-to-month,Credit card,1,0
2968,32,11,88.59,Month-to-month,Electronic check,1,0
2969,70,44,79.95,One year,Electronic check,1,0
2970,41,69,98.18,One year,Credit card,1,0
2971,56,71,58.3,Month-to-month,Electronic check,3,0
2972,41,2,75.26,Two year,Bank transfer,1,0
2973,41,63,86.96,Month-to-month,Electronic check,2,0
2974,33,38,42.46,Two year,Mailed check,3,0
2975,43,25,85.61,Two year,Credit card,1,0
2976,46,15,41.03,Month-to-month,Mailed check,2,0
2977,31,6,60.2,Month-to-month,Electronic check,1,0
2978,40,21,74.14,Month-to-month,Bank transfer,2,1
2979,33,3,52.18,Two year,Electronic check,0,0
2980,74,1,72.21,Month-to-month,Electronic check,2,1
2981,40,60,80.66,Two year,Mailed check,3,0
2982,63,6,50.4,Month-to-month,Mailed check,2,0
2983,39,55,92.45,Month-to-month,Bank transfer,0,0
2984,45,4,51.5,Two year,Mailed check,2,0
2985,23,7,128.25,Month-to-month,Mailed check,1,1
2986,35,4,67.86,One year,Electronic check,1,0
2987,44,13,42.67,Month-to-month,Credit card,3,0
2988,64,46,52.29,Month-to-month,Electronic check,0,0
2989,45,56,107.09,Month-to-month,Credit card,1,0
2990,61,16,62.17,Month-to-month,Mailed check,1,0
2991,50,26,39.81,One year,Mailed check,2,0
2992,64,2,91.64,Month-to-month,Bank transfer,3,1
2993,41,2,59.91,Month-to-month,Mailed check,2,1
2994,75,39,92.19,Month-to-month,Bank transfer,2,0
2995,35,12,95.19,One year,Credit card,2,0
2996,31,34,81.96,Two year,Credit card,0,0
2997,25,12,131.7,One year,Mailed check,2,0
2998,74,18,29.58,Two year,Bank transfer,2,0
2999,53,23,53.0,Month-to-month,Mailed check,1,0
3000,37,14,65.7,Month-to-month,Credit card,0,0
3001,59,12,128.33,Month-to-month,Electronic check,1,0
3002,51,12,116.75,Month-to-month,Electronic check,0,0
3003,69,3,102.67,One year,Mailed check,3,0
3004,20,29,54.5,One year,Electronic check,0,0
3005,38,3,53.51,Month-to-month,Bank transfer,4,1
3006,35,5,50.04,Two year,Electronic check,4,0
3007,18,13,52.36,Month-to-month,Electronic check,3,0
3008,56,13,109.27,One year,Bank transfer,1,1
3009,38,11,65.56,Month-to-month,Mailed check,2,0
3010,52,41,73.36,One year,Credit card,0,0
3011,75,8,90.56,Month-to-month,Electronic check,1,0
3012,37,50,35.91,Two year,Electronic check,1,0
3013,36,21,74.47,Two year,Electronic check,2,0
3014,43,19,45.43,Month-to-month,Mailed check,2,1
3015,55,22,65.94,Month-to-month,Electronic check,1,1
3016,34,5,56.09,One year,Credit card,1,0
3017,33,22,57.35,One year,Electronic check,2,0
3018,56,39,81.49,Month-to-month,Credit card,1,0
3019,47,27,79.58,One year,Mailed check,1,0
3020,18,2,64.8,Two year,Bank transfer,0,0
3021,24,11,80.92,One year,Electronic check,1,0
3022,63,0,48.28,Month-to-month,Electronic check,1,0
3023,47,10,88.54,Two year,Mailed check,0,0
3024,31,3,65.3,Month-to-month,Mailed check,1,0
3025,39,14,60.01,Month-to-month,Bank transfer,0,0
3026,42,0,50.13,Two year,Electronic check,2,0
3027,52,65,73.72,Month-to-month,Electronic check,3,0
3028,22,9,118.12,Month-to-month,Credit card,1,0
3029,30,34,73.52,One year,Electronic check,2,0
3030,45,5,42.14,Two year,Electronic check,2,0
3031,40,30,97.47,Month-to-month,Mailed check,1,0
3032,50,10,59.7,Month-to-month,Electronic check,4,1
3033,24,23,80.54,Month-to-month,Mailed check,0,0
3034,46,65,64.61,Month-to-month,Bank transfer,1,0
3035,57,26,105.92,Month-to-month,Bank transfer,0,0
3036,48,3,55.68,Month-to-month,Bank transfer,0,0
3037,43,53,112.9,Two year,Electronic check,1,0
3038,40,31,48.42,One year,Electronic check,2,0
3039,30,47,69.73,Two year,Credit card,0,0
3040,40,54,113.1,Two year,Electronic check,3,0
3041,59,7,75.25,Two year,Electronic check,4,0
3042,40,9,128.14,One year,Mailed check,3,0
3043,29,34,68.37,Month-to-month,Bank transfer,2,0
3044,35,1,76.58,Two year,Electronic check,2,1
3045,44,9,118.98,Month-to-month,Credit card,0,1
3046,36,10,33.65,Month-to-month,Electronic check,1,0
3047,48,48,36.26,Month-to-month,Credit card,3,0
3048,49,68,60.31,Month-to-month,Electronic check,1,0
3049,54,3,90.78,Month-to-month,Bank transfer,2,0
3050,61,16,32.15,One year,Mailed check,1,0
3051,55,31,89.58,Month-to-month,Credit card,0,0
3052,28,10,84.67,Month-to-month,Mailed check,1,0
3053,29,18,123.06,Month-to-month,Credit card,1,0
3054,40,6,97.04,Two year,Bank transfer,2,0
3055,35,34,84.2,Month-to-month,Bank transfer,0,0
3056,26,34,109.08,Month-to-month,Electronic check,1,0
3057,35,13,85.42,One year,Electronic check,0,0
3058,35,10,60.0,Two year,Credit card,0,0
3059,32,7,42.43,Month-to-month,Credit card,2,0
3060,37,1,55.92,One year,Electronic check,0,0
3061,58,19,71.85,Month-to-month,Electronic check,1,1
3062,44,49,81.73,Two year,Electronic check,1,0
3063,76,3,18.0,One year,Electronic check,6,1
3064,44,12,66.31,One year,Electronic check,1,0
3065,37,51,78.36,Month-to-month,Credit card,2,0
3066,42,40,89.69,One year,Electronic check,4,0
3067,45,31,115.32,Month-to-month,Credit card,0,0
3068,48,0,74.64,Month-to-month,Credit card,1,1
3069,71,26,51.16,One year,Electronic check,0,0
3070,30,8,25.75,One year,Mailed check,2,0
3071,54,34,92.28,Month-to-month,Mailed check,3,0
3072,44,6,49.17,Two year,Electronic check,4,0
3073,20,0,91.67,Month-to-month,Bank transfer,1,1
3074,52,16,107.34,One year,Bank transfer,1,0
3075,59,8,32.6,Month-to-month,Electronic check,4,0
3076,29,21,87.0,Month-to-month,Credit card,1,0
3077,41,7,103.37,Two year,Electronic check,2,0
3078,18,35,100.73,Month-to-month,Electronic check,1,1
3079,24,16,19.99,Two year,Credit card,2,0
3080,56,7,49.71,Month-to-month,Electronic check,0,0
3081,35,30,42.5,One year,Electronic check,2,0
